id	review	sentiment
0	Check out this playlist on YouTube: I tried﻿	1
1	"subscribe to <span class=""proflinkWrapper""><span class=""proflinkPrefix"">+</span><a class=""proflink"" href=""https://plus.google.com/104999962146104962510"" oid=""104999962146104962510"">SuperMarioLogan</a></span>  if you thot the robot dudes r epic and awsome﻿"	1
2	"if watching in 2015 subscribe to <span class=""proflinkWrapper""><span class=""proflinkPrefix"">+</span><a class=""proflink"" href=""https://plus.google.com/104999962146104962510"" oid=""104999962146104962510"">SuperMarioLogan</a></span> ﻿"	1
3	Check out this playlist on YouTube:﻿	1
4	Like this comment if you still jam out to this song after 4 years ﻿	1
5	subscribe﻿	1
6	Check out this video on YouTube:﻿	1
7	this video has 800+m views<br />and the channel got 3m subscribers﻿	1
8	Check out this video on YouTube:﻿	1
9	subscribe to my chanell﻿	1
10	los invito a subscribirse a mi canal ﻿	1
11	Check out this video on YouTube:﻿	1
12	Check out this playlist on YouTube:﻿	1
13	Check out this video on YouTube:opponents mm <br /><br /><br /><br />--•[••••=====++¥¥£££<br />﻿	1
14	Check out this video on YouTube:<br /><br />﻿	1
15	"At 500 subscribers i&#39;m sky diving help me reach my goal &lt;3<br />Trust me, i&#39;m a doctor.  :)﻿"	1
16	Check out this video on YouTube:﻿	1
17	Check out this video on YouTube:﻿	1
18	Check out this video on YouTube:﻿	1
19	Check out this playlist on YouTube:﻿	1
20	Check out this playlist on YouTube:﻿	1
21	Check out this video on YouTube:﻿	1
22	"<a href=""https://m.freemyapps.com/share/url/505b0232"">https://m.freemyapps.com/share/url/505b0232</a>﻿"	1
23	Check out this video on YouTube:﻿	1
24	"Need money ? check my channel and subscribe,soon will post how to get it )﻿"	1
25	Check out this playlist on YouTube:﻿	1
26	Like this comment for no reason.﻿	1
27	"Youtube comments in a nut shell:<br /><br />.First<br />.301 club<br />.Skip to <a href=""http://www.youtube.com/watch?v=KQ6zr6kCPj8&amp;t=3m57s"">3:57</a> and close your eyes<br />.Advertisements<br />.like this comment for no reason<br />.Christianity arguements<br />.Other religious arguements<br />.Console wars<br />.#PCMASTERACE<br />.Trolls<br />.&quot;How is there 1 million views on the this video if theres online 10 people on earth/<br />.Complaints<br />.Pewdiepie fangirls<br />.Minecraft scrubs<br />./r/MontageParodies<br /><br /><br />AND ANY OTHER SHIT!!﻿"	1
28	Check out this playlist on YouTube:﻿	1
29	Check out this video on YouTube:﻿	1
30	Please become my first subscriber.  Thank you.﻿	1
31	Can i get views and subscribers for no reason? 😅﻿	1
32	Check out this video on YouTube:﻿	1
33	Check out this video on YouTube:﻿	1
34	Hello from Russia comes to the channel subscribe﻿	1
35	"Check out my dance videos!! You won&#39;t be disappointed!! <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23KingLoTheDancer"">#KingLoTheDancer</a>﻿"	1
36	Men stop being naive idiots believing in love and believing that women actually respect you.  Want a more fulfilling drama fee life? Check out MGTOW. There are many channels here on YouTube that you can chose from which will give you all the information needed. (Caution: Not for men who enjoy being disposable providers of utility)﻿	1
37	pleas subscribe on me for ps4 games video <br /><i>______________________________</i><br />if you have som tips so contact me on kik or skype<br /><i>______________________________</i><br />Kik: pander26<br />Skype: sander.nicolaysen2<br /><i>______________________</i><br />pleas subscribe on me and Kashoo Gaming﻿	1
38	Check out this playlist on YouTube:﻿	1
39	Check out this video on YouTube:﻿	1
40	Check out this playlist on YouTube:👿👳👳👳👳👳﻿	1
41	Check out this video on YouTube:الإعلانات<br /><br /><br /><br /><br /><br />لل﻿	1
42	🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨<br />NOW THAT I HAVE YOUR ATTENTION!!! 🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨SUBSCRIBE TO MY CHANNEL!!!<br />🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨<br />GRACIAS!💋<br />🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨﻿	1
43	Check out this video on YouTube:﻿	1
44	Check out this video on YouTube:﻿	1
45	Check out this video on YouTube:﻿	1
46	Check out this video on YouTube:﻿	1
47	"<a href=""https://m.freemyapps.com/share/url/10b35481"">https://m.freemyapps.com/share/url/10b35481</a>﻿"	1
48	Check out this video on YouTube:﻿	1
49	Check out this playlist on YouTube:a﻿	1
50	Check out this video on YouTube:﻿	1
51	Check out this playlist on YouTube:hbbhhhgh﻿	1
52	Check out this playlist on YouTube:﻿	1
53	LIKE AND SUBSCRIB IF YOU WATCH IN 2015 ;)﻿	1
54	Check out this video on YouTube:﻿	1
55	Check out this video on YouTube:hjalp﻿	1
56	Check out this video on YouTube:﻿	1
57	Check out this video on YouTube:﻿	1
58	Check out this video on YouTube:﻿	1
59	Check out this video on YouTube:﻿	1
60	Check out this video on YouTube:﻿	1
61	Check out this video on YouTube:﻿	1
62	Check out this video on YouTube:Qq﻿	1
63	Check out this video on YouTube:﻿	1
64	"<a href=""http://www.gofundme.com/Helpmypitbull"">http://www.gofundme.com/Helpmypitbull</a> Can you please donate to help my pitbull PLEASE!!! I just need 50 dollars to take it to the vet!!!﻿"	1
65	Check out this video on YouTube:﻿	1
66	Check out this video on YouTube:﻿	1
67	Dear friends please subscribe to my channel I will be very glad to see You virucide ;-)﻿	1
68	Check out this video on YouTube:﻿	1
69	Check out this video on YouTube:﻿	1
70	Subscribe to my channel <br />Tweet &amp; Follow me on twitter //therealterrell_ <br />And I will follow you back 👀﻿	1
71	want a sub? tell me about your channel and i will subscribe (with a couple exceptions)﻿	1
72	Check out this playlist on YouTube:﻿	1
73	Subscribe I&#39;ll subscribe back﻿	1
74	Check out this playlist on YouTube:﻿	1
75	Check out this playlist on YouTube:pl﻿	1
76	Check out this video on YouTube:﻿	1
77	Check out this video on YouTube:﻿	1
78	Check out this video on YouTube:﻿	1
79	Check out this video on YouTube:lo﻿	1
80	Check out this video on YouTube﻿	1
81	Check out this video on YouTube:﻿	1
82	Check out this video on YouTube: I ﻿	1
83	Check out this video on YouTube:﻿	1
84	subscribe to my channel yo - DJ Feelz﻿	1
85	Hey guys subscribe to my chanel and i will subscribe back and like all your vids :)<br /><br />﻿	1
86	Check out this video on YouTube:﻿	1
87	Check out this video on YouTube:﻿	1
88	White people are going extinct for more information subscribe to my channel or search for videos on &quot;white genocide&quot;  thank you﻿	1
89	Check out this video on YouTube:﻿	1
90	Check out this video on YouTube:﻿	1
91	Check out this video on YouTube:..🌈🌈🌈﻿	1
92	subscribers please`﻿	1
93	Yo like what up this song is fricking beast anywon herd the see mee rollin or I woke up in a new Buggti check out nuketown rap I was shooting in it see my nice quick scoping things training for faze adoult freind sang I was at my freinds house doing it we just had the rap going and we were doing fun things ﻿	1
